id,university,code,status,issues,evidence_warnings,section_characters,source,note
1,가천대,0000063,확인+입학처,,가군 근거 미확인 / 나군 근거 미확인,3816,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2027&unvCd=0000063,
2,가톨릭대,0000046,확인,,,5784,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2027&unvCd=0000046,
3,강남대,0000051,확인+입학처,,가군 근거 미확인 / 나군 근거 미확인 / 다군 근거 미확인 / 백분위 근거 미확인,7270,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2027&unvCd=0000051,
4,강서대,0000079,확인+입학처,,나군 근거 미확인 / 다군 근거 미확인 / 백분위 근거 미확인,7349,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2027&unvCd=0000079,
5,강원대,0000003,확인+입학처,,가군 근거 미확인 / 나군 근거 미확인 / 백분위 근거 미확인,9007,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2027&unvCd=0000003,
6,강원대(강릉원주대),0000001,확인+입학처,,나군 근거 미확인 / 다군 근거 미확인 / 백분위 근거 미확인 / 한국사 반영 근거 미확인,2634,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2027&unvCd=0000001,
7,건국대,0000052,확인+입학처,,가군 근거 미확인 / 나군 근거 미확인 / 다군 근거 미확인,4657,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2027&unvCd=0000052,
9,경기대,0000056,확인,,,8716,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2027&unvCd=0000056,
10,경동대,0000060,확인,,,3656,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2027&unvCd=0000060,
11,경북대,0000005,확인,,,5053,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2027&unvCd=0000005,
12,경상국립대,0000007,확인+입학처,,가군 근거 미확인 / 나군 근거 미확인 / 다군 근거 미확인,4558,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2027&unvCd=0000007,
13,경희대,0000066,확인,,,4484,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2027&unvCd=0000066,
14,고려대,0000069,확인+입학처,,표준점수 근거 미확인 / 변환표준점수 근거 미확인,4909,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2027&unvCd=0000069,
15,고려대(세종),0000070,확인+입학처,,가군 근거 미확인 / 나군 근거 미확인 / 다군 근거 미확인,6431,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2027&unvCd=0000070,
