id,university,status,issues,pages,page_count,source
1,가천대,확인,,"20,21,30,34",44,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\경기인천강원\2. 경기인천\2027_가천대_정시요강.pdf
2,가톨릭대,확인,,"3,4,27,28",44,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\경기인천강원\2. 경기인천\2027_가톨릭대_정시요강.pdf
3,강남대,확인,,"3,18,20,26",46,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\경기인천강원\2. 경기인천\2027_강남대_정시요강.pdf
4,강서대,확인,,"2,4,17",24,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_강서대_정시요강.pdf
5,강원대,확인,,"2,40,43,44",82,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\경기인천강원\3. 강원\2027_강원대(춘천삼척)_정시요강.pdf
6,강원대(강릉원주대),확인,,"2,19,27,32",60,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\경기인천강원\3. 강원\2027_강원대(강릉원주)_정시요강.pdf
7,건국대,확인,,"10,42,43",56,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_건국대_정시요강.pdf
9,경기대,확인,,"14,19,26,30",66,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\경기인천강원\2. 경기인천\2027_경기대_정시요강.pdf
10,경동대,확인,,"11,15,19,23",41,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\경기인천강원\2. 경기인천\2027_경동대_정시요강.pdf
11,경북대,확인,,"2,3,19,34",70,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\영남제주\6. 영남권\2027_경북대_정시요강.pdf
12,경상국립대,확인,,"22,23,35,40",66,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\영남제주\6. 영남권\2027_경상국립대_정시요강.pdf
13,경희대,확인,,"25,31,39,43",72,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_경희대_정시요강.pdf
14,고려대,확인,,"11,17,18",38,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_고려대_정시요강.pdf
15,고려대(세종),확인,,"3,27,29,31",39,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\충청호남\4. 충청권\2027_고려대(세)_정시요강.pdf
16,광운대,확인,,"20,23,27,43",48,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_광운대_정시요강.pdf
17,공주대,확인,,"2,24,37,51",71,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\충청호남\4. 충청권\2027_국립공주대_정시요강.pdf
18,국민대,확인,,"3,14,23,45",61,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_국민대_정시요강.pdf
19,단국대,확인,,"30,32,50,66",78,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\경기인천강원\2. 경기인천\2027_단국대_정시요강.pdf
20,단국대(천안),확인,,"30,32,50,66",78,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\충청호남\4. 충청권\2027_단국대(천)_정시요강.pdf
21,대진대,확인,,,0,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\경기인천강원\2. 경기인천\2027_대진대_정시요강.hwp
22,덕성여대,확인,,"6,17,18,19",40,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_덕성여대_정시요강.pdf
23,동국대,확인,,"19,25,29,39",69,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_동국대_정시요강.pdf
24,동국대(WISE),확인,,"19,25,29,39",69,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_동국대_정시요강.pdf
25,동덕여대,확인,,"17,20,25,26",43,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_동덕여대_정시요강.pdf
26,동양대,확인,,"3,14,18,22",32,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\경기인천강원\2. 경기인천\2027_동양대_정시요강.pdf
27,명지대,확인,,"17,21,26,29",55,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_명지대_정시요강.pdf
28,부산대,확인,,"31,32,49,62",75,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\영남제주\6. 영남권\2027_부산대_정시요강.pdf
29,삼육대,확인,,"2,27,31,37",56,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_삼육대_정시요강.pdf
30,상명대,확인,,"4,24,27,31",47,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_상명대(서)_정시요강.pdf
31,상명대(천안),확인,,"16,18,20,22",53,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\충청호남\4. 충청권\2027_상명대(천)_정시요강.pdf
32,서강대,확인,,"3,19,24,34",49,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_서강대_정시요강.pdf
33,서경대,확인,,"9,19,31,33",59,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_서경대_정시요강.pdf
34,서울과기대,확인,,"8,27,29,40",75,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_서울과기대_정시요강.pdf
35,서울대,확인,,"23,57,58,60",102,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_서울대_정시요강.pdf
36,서울시립대,확인,,"16,21,26,28",35,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_서울시립대_정시요강.pdf
37,서울여대,확인,,"3,20,29,33",38,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_서울여대_정시요강.pdf
38,성결대,확인,,,0,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\경기인천강원\2. 경기인천\2027_성결대_정시요강.hwp
39,성공회대,확인,,"12,14,20",25,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_성공회대_정시요강.pdf
40,성균관대,확인,,"26,33,36,41",70,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_성균관대_정시요강.pdf
41,성신여대,확인,,"20,24,29,44",67,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_성신여대_정시요강.pdf
42,세종대,확인,,"20,25,29,38",71,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_세종대_정시요강.pdf
43,수원대,확인,,"3,15,20,21",64,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\경기인천강원\2. 경기인천\2027_수원대_정시요강.pdf
44,숙명여대,확인,,"16,24,27,41",57,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_숙명여대_정시요강.pdf
45,숭실대,확인,,"3,46,47,48",67,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_숭실대_정시요강.pdf
46,신한대,확인,,"16,25,28,52",60,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\경기인천강원\2. 경기인천\2027_신한대_정시요강.pdf
47,아주대,확인,,"14,16,49,57",67,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\경기인천강원\2. 경기인천\2027_아주대_정시요강.pdf
48,안양대,확인,,"2,9,12,19",31,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\경기인천강원\2. 경기인천\2027_안양대_정시요강.pdf
49,연세대,확인,,"6,23,24,25",70,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\서울\2027_연세대_정시요강.pdf
50,연세대(미래),확인,,"11,13,17,19",36,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\경기인천강원\3. 강원\2027_연세대(미)_정시요강.pdf
51,용인대,확인,,"2,11,25,28",36,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\경기인천강원\2. 경기인천\2027_용인대_정시요강.pdf
52,을지대,확인,,"32,33,34,35",60,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\경기인천강원\2. 경기인천\2027_을지대_정시요강.pdf
53,이화여대,확인,,"13,15,16,19",42,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\교대\2027_이화여대_정시요강.pdf
54,인천대,확인,,"13,21,24,27",38,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\경기인천강원\2. 경기인천\2027_인천대_정시요강.pdf
55,인하대,확인,,"2,12,41,42",55,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\경기인천강원\2. 경기인천\2027_인하대_정시요강.pdf
56,전남대,확인,수동 확인 완료: 2027학년도 표기 미확인 / 가 근거 미확인 / 나 근거 미확인 / 다 근거 미확인 / 표준점수 근거 미확인 / 변환표준점수 근거 미확인,,84,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\충청호남\5. 호남권\2027_전남대_정시요강.pdf
57,전북대,확인,,"5,42,43,44",97,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\충청호남\5. 호남권\2027_전북대_정시요강.pdf
58,제주대,확인,,"29,30,39,40",85,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\영남제주\7. 제주\2027_제주대_정시요강.pdf
59,중부대,확인,,"11,13,15,19",46,C:\Users\User\Desktop\업무\작업\21. 정시모집 관련\00. 소스(모집요강)\경기인천강원\2. 경기인천\2027_중부대_정시요강.pdf
